Keywords,Frequency
trump,687
police,388
comment,329
clinton,328
school,263
say,254
game,246
student,200
officer,178
season,153
woman,150
child,148
percent,135
rio,129
city,129
company,116
olympic,116
campaign,113
county,113
film,113
