Keywords,Frequency
trump,595
police,435
clinton,359
comment,305
game,290
school,273
say,259
student,228
officer,206
child,158
percent,155
bank,139
woman,133
yard,128
season,125
film,121
charlotte,119
city,117
scott,116
debate,114
